"Age","Gender","Education","Educ","Political","Mean_Animal_reminder","Mean_Contamination","Mean_core","Mean_general_ds"
38,"male",13,"HS","center",3,3.25,2.72727272727273,2.91304347826087
55,"male",15,"Coll_Univ","right",2.625,1.25,2.36363636363636,2.26086956521739
62,"male",15,"Coll_Univ","right",1.75,3.25,3,2.60869565217391
67,"male",14,"HS","center",2.25,3.5,2.63636363636364,2.65217391304348
28,"male",15,"Coll_Univ","center",1.25,0.5,1.27272727272727,1.1304347826087
23,"female",15,"Coll_Univ","center",3.125,3,3.09090909090909,3.08695652173913
51,"female",15,"Coll_Univ","center",3,3,2.81818181818182,2.91304347826087
30,"female",15,"Coll_Univ","left",1.25,2,2,1.73913043478261
24,"female",12,"HS","right",2.5,1.25,2.18181818181818,2.1304347826087
30,"male",15,"Coll_Univ","center",3.125,1.75,1.54545454545455,2.1304347826087
27,"female",16,"Coll_Univ","left",1.375,1,2.09090909090909,1.65217391304348
26,"female",12,"HS","center",2.125,2,2.18181818181818,2.1304347826087
37,"female",17,"Grad_Prof","center",2.75,1.5,2.45454545454545,2.39130434782609
40,"female",17,"Grad_Prof","left",1.5,2.25,2.09090909090909,1.91304347826087
24,"male",15,"Coll_Univ","center",1.125,2,1.63636363636364,1.52173913043478
25,"male",14,"HS","right",3.875,1,2.72727272727273,2.82608695652174
24,"female",15,"Coll_Univ","right",2.5,1.75,2.72727272727273,2.47826086956522
21,"female",12,"HS","right",2.125,1.75,2.63636363636364,2.30434782608696
24,"male",12,"HS","left",2.25,1.25,2.45454545454545,2.17391304347826
38,"female",12,"HS","left",3.25,2,1.45454545454545,2.17391304347826
41,"male",15,"Coll_Univ","right",2.875,3,2.54545454545455,2.73913043478261
26,"female",15,"Coll_Univ","left",3.5,3,3.63636363636364,3.47826086956522
20,"female",12,"HS","right",3.5,2.5,3.63636363636364,3.39130434782609
27,"female",NA,NA,"center",NA,NA,NA,NA
20,"female",12,"HS","right",2.25,2.5,2.81818181818182,2.56521739130435
23,"female",12,"HS","right",1.875,1,2.09090909090909,1.82608695652174
40,"female",16,"Coll_Univ","left",0.875,2.25,1.45454545454545,1.39130434782609
35,"male",15,"Coll_Univ","center",1.875,1.75,2.27272727272727,2.04347826086957
62,"female",16,"Coll_Univ","left",2.75,1.75,2.27272727272727,2.34782608695652
34,"female",12,"HS","left",1.5,2.25,2.90909090909091,2.30434782608696
43,"female",16,"Coll_Univ","center",1.625,2,2.18181818181818,1.95652173913043
33,"male",14,"HS","right",1.375,1.75,1.54545454545455,1.52173913043478
21,"female",12,"HS","right",2.125,1.75,2.09090909090909,2.04347826086957
21,"female",12,"HS","right",2.5,1.25,2,2.04347826086957
42,"female",16,"Coll_Univ","center",3.375,3.5,2.54545454545455,3
24,"male",12,"HS","center",2.5,1,1.81818181818182,1.91304347826087
59,"female",14,"HS","right",1.875,0.5,1.36363636363636,1.39130434782609
60,"male",12,"HS","right",1.625,2.75,2.09090909090909,2.04347826086957
22,"male",12,"HS","left",1.75,0.5,1.90909090909091,1.60869565217391
34,"male",12,"HS","right",3.375,2.5,3,3.04347826086957
32,"female",12,"HS","center",3.125,1.75,1.72727272727273,2.21739130434783
58,"male",16,"Coll_Univ","left",1.375,1.75,2.09090909090909,1.78260869565217
27,"male",NA,NA,"right",NA,NA,NA,NA
27,"female",17,"Grad_Prof","right",0.75,3,2.09090909090909,1.78260869565217
28,"female",15,"Coll_Univ","center",3.5,2.75,2.45454545454545,2.8695652173913
27,"female",6,"Less_HS","right",2.25,3.25,2.90909090909091,2.73913043478261
55,"male",12,"HS","left",0.5,0.75,0.727272727272727,0.652173913043478
39,"male",15,"Coll_Univ","left",2.5,1.25,2.90909090909091,2.47826086956522
31,"male",14,"HS","left",3.5,1.5,2.72727272727273,2.78260869565217
55,"male",12,"HS","right",3.75,3.25,2.72727272727273,3.17391304347826
24,"male",15,"Coll_Univ","right",3,2,3.09090909090909,2.8695652173913
20,"female",12,"HS","center",1.5,1,1.45454545454545,1.39130434782609
31,"female",16,"Coll_Univ","right",2,2,1.90909090909091,1.95652173913043
28,"male",14,"HS","center",1.375,1.5,1.81818181818182,1.60869565217391
38,"male",18,"Grad_Prof","center",2,2,2.27272727272727,2.1304347826087
28,"female",19,"Grad_Prof","center",0.75,2.75,2.45454545454545,1.91304347826087
62,"male",16,"Coll_Univ","center",2.75,3,2.54545454545455,2.69565217391304
31,"female",15,"Coll_Univ","left",1.75,1.25,1.81818181818182,1.69565217391304
22,"female",12,"HS","center",1.75,1.25,2.18181818181818,1.8695652173913
17.5,"female",11,"Less_HS","left",2.625,2.75,3.54545454545455,3.08695652173913
54,"female",13,"HS","left",2,2.5,2.54545454545455,2.34782608695652
19,"female",12,"HS","center",3.5,3,3.27272727272727,3.30434782608696
45,"male",12,"HS","left",1.875,2.75,2.63636363636364,2.39130434782609
29,"male",15,"Coll_Univ","left",3.25,1.25,2.54545454545455,2.56521739130435
26,"female",12,"HS","right",1.75,2.5,3,2.47826086956522
28,"male",12,"HS","right",2.625,2.75,2,2.34782608695652
53,"female",17,"Grad_Prof","left",1.875,2,2.18181818181818,2.04347826086957
22,"male",12,"HS","center",2.125,1,1.54545454545455,1.65217391304348
33,"female",12,"HS","right",2.625,2.25,2.54545454545455,2.52173913043478
19,"female",12,"HS","right",1,1.25,1.54545454545455,1.30434782608696
38,"female",16,"Coll_Univ","left",2.375,2.25,2.72727272727273,2.52173913043478
61,"male",12,"HS","center",2.375,2.5,2.81818181818182,2.60869565217391
59,"male",19,"Grad_Prof","left",0.75,1.25,1.45454545454545,1.17391304347826
28,"female",15,"Coll_Univ","center",1.875,2.25,2.27272727272727,2.1304347826087
25,"female",15,"Coll_Univ","left",1.5,1,1.72727272727273,1.52173913043478
