Player,Season,Team,Shoots,Pos,GP,G,A,P,PlusMinus,PIM,PtsPerGm,EVG,EVP,PPG,PPP,SHG,SHP,OTG,GWG,Shots,ShotPct,FOWPct,TOI
Leon Draisaitl,20192020,EDM,L,C,66,43,64,107,-6,16,1.62,27,64,16,43,0,0,2,10,209,20.6,51.6,22.61666667
Connor McDavid,20192020,EDM,L,C,60,32,62,94,-4,28,1.57,21,52,11,42,0,0,0,6,198,16.2,48,21.91666667
David Pastrnak,20192020,BOS,R,R,66,47,44,91,23,38,1.38,28,55,19,36,0,0,1,10,257,18.3,38.9,19.05
Artemi Panarin,20192020,NYR,R,L,64,32,58,90,34,18,1.41,25,67,7,23,0,0,0,4,196,16.3,50,20.35
Nathan MacKinnon,20192020,COL,R,C,65,33,53,86,11,12,1.32,23,57,10,29,0,0,2,4,303,10.9,42.6,21.33333333
Brad Marchand,20192020,BOS,L,L,66,27,56,83,27,72,1.26,21,54,5,26,1,3,0,5,179,15.1,40.8,19.6
Nikita Kucherov,20192020,TBL,L,R,63,31,49,80,25,34,1.27,27,56,4,24,0,0,3,6,191,16.2,0,18.76666667
Patrick Kane,20192020,CHI,L,R,65,28,50,78,4,38,1.2,21,56,7,22,0,0,1,2,243,11.5,25,21.31666667
Auston Matthews,20192020,TOR,L,C,66,45,32,77,20,8,1.17,34,53,11,24,0,0,0,4,270,16.7,55.4,20.83333333
Jack Eichel,20192020,BUF,R,C,64,35,42,77,8,34,1.2,24,50,10,26,1,1,3,9,217,16.1,47.2,22.03333333
Jonathan Huberdeau,20192020,FLA,L,L,66,22,55,77,5,30,1.17,17,48,5,29,0,0,1,3,146,15.1,39.3,18.78333333
John Carlson,20192020,WSH,R,D,65,15,58,73,15,24,1.12,13,47,2,26,0,0,0,6,180,8.3,0,24.68333333
Mark Scheifele,20192020,WPG,R,C,67,28,42,70,0,45,1.04,18,51,10,19,0,0,2,6,158,17.7,47.1,21.76666667
J.T. Miller,20192020,VAN,L,C,65,26,42,68,9,45,1.05,17,43,9,23,0,2,1,3,156,16.7,59.2,19.9
Kyle Connor,20192020,WPG,L,L,67,33,34,67,1,32,1,24,50,8,16,1,1,1,6,225,14.7,15.4,21.05
Steven Stamkos,20192020,TBL,R,C,57,29,37,66,14,22,1.16,19,47,10,19,0,0,0,6,176,16.5,54.3,18.41666667
Mika Zibanejad,20192020,NYR,R,C,52,32,33,65,7,14,1.25,17,36,12,24,3,5,1,5,185,17.3,48.7,21.45
Mitchell Marner,20192020,TOR,R,R,55,15,49,64,5,14,1.16,9,41,6,22,0,1,1,2,142,10.6,26.9,21.48333333
Alex Ovechkin,20192020,WSH,R,L,64,45,18,63,-12,30,0.98,32,45,13,18,0,0,1,3,298,15.1,100,20.83333333
Max Pacioretty,20192020,VGK,L,L,67,30,33,63,16,40,0.94,23,45,7,18,0,0,1,4,291,10.3,53.1,17.91666667
Elias Pettersson,20192020,VAN,L,C,64,26,37,63,13,16,0.98,18,39,8,24,0,0,1,5,157,16.6,41.3,18.46666667
Mark Stone,20192020,VGK,R,R,65,21,42,63,15,27,0.97,15,45,6,17,0,1,0,3,168,12.5,34.8,19.41666667
Evgeni Malkin,20192020,PIT,L,C,50,21,42,63,9,52,1.26,16,43,5,20,0,0,0,4,156,13.5,50,19.55
Sebastian Aho,20192020,CAR,L,C,64,36,26,62,10,26,0.97,26,44,7,14,3,4,0,5,198,18.2,46.1,19.41666667
Aleksander Barkov,20192020,FLA,L,C,63,20,42,62,3,16,0.98,13,41,7,20,0,1,0,2,167,12,54,20.06666667
Tomas Tatar,20192020,MTL,L,L,67,22,39,61,5,36,0.91,14,47,8,14,0,0,0,1,162,13.6,36,16.5
Roman Josi,20192020,NSH,L,D,65,16,45,61,20,39,0.94,12,41,4,20,0,0,0,1,240,6.7,--,25.83333333
David Perron,20192020,STL,R,L,66,25,35,60,2,52,0.91,16,33,9,27,0,0,4,9,160,15.6,42.9,18.43333333
Brayden Point,20192020,TBL,R,C,61,23,37,60,27,11,0.98,16,49,7,11,0,0,0,4,130,17.7,50.9,18.9
Travis Konecny,20192020,PHI,R,R,62,23,37,60,-1,28,0.97,19,38,4,22,0,0,0,3,133,17.3,50,16.9
Teuvo Teravainen,20192020,CAR,L,L,64,15,45,60,21,8,0.94,10,37,4,20,1,3,0,1,174,8.6,46.9,19.23333333
Patrik Laine,20192020,WPG,R,R,64,26,33,59,4,22,0.92,19,44,7,15,0,0,0,1,217,12,37,19.7
Blake Wheeler,20192020,WPG,R,R,67,21,38,59,-3,35,0.88,16,37,4,20,1,2,0,2,173,12.1,49.7,19.21666667
Anze Kopitar,20192020,LAK,L,C,66,20,39,59,1,16,0.89,12,37,7,21,1,1,1,5,128,15.6,55,20.96666667
John Tavares,20192020,TOR,L,C,59,26,32,58,-6,20,0.98,19,39,7,19,0,0,3,4,185,14.1,55.3,19.51666667
Andrei Svechnikov,20192020,CAR,L,R,64,24,34,58,11,50,0.91,18,40,6,18,0,0,1,5,176,13.6,0,16.68333333
Sean Couturier,20192020,PHI,L,C,65,21,37,58,20,30,0.89,17,45,4,13,0,0,1,4,174,12.1,59.2,19.81666667
Ryan Strome,20192020,NYR,R,C,65,18,40,58,21,46,0.89,15,41,3,16,0,1,0,3,141,12.8,47.8,19.45
Ryan O'Reilly,20192020,STL,L,C,66,12,46,58,11,10,0.88,9,40,2,17,1,1,1,3,114,10.5,56.2,20.66666667
William Nylander,20192020,TOR,R,R,64,29,28,57,0,12,0.89,21,41,8,16,0,0,1,7,177,16.4,50.5,18.08333333
Mike Hoffman,20192020,FLA,L,L,66,27,29,56,-6,28,0.85,17,36,10,20,0,0,0,3,202,13.4,42.9,16.81666667
Matthew Tkachuk,20192020,CGY,L,L,66,21,35,56,-3,74,0.85,16,38,5,18,0,0,2,4,182,11.5,0,18.3
Ryan Nugent-Hopkins,20192020,EDM,L,C,60,19,37,56,0,33,0.93,13,34,6,22,0,0,0,4,159,11.9,51.5,20.55
Mathew Barzal,20192020,NYI,R,C,64,18,38,56,6,38,0.88,14,45,4,11,0,0,0,2,153,11.8,40.9,19.95
Johnny Gaudreau,20192020,CGY,L,L,67,17,39,56,-11,12,0.84,12,39,5,17,0,0,0,2,199,8.5,25,18.7
Jonathan Toews,20192020,CHI,L,C,65,17,39,56,-4,48,0.86,15,48,1,7,1,1,3,3,157,10.8,57.4,19.7
Patrice Bergeron,20192020,BOS,R,C,57,29,25,54,24,24,0.95,18,34,10,19,1,1,1,5,189,15.3,57.7,18.85
Elias Lindholm,20192020,CGY,R,C,67,28,25,53,-9,22,0.79,20,34,8,19,0,0,1,7,158,17.7,49.4,19.66666667
Brayden Schenn,20192020,STL,L,C,66,24,29,53,-2,44,0.8,14,33,10,20,0,0,0,3,132,18.2,49.2,18.55
Victor Hedman,20192020,TBL,L,D,63,9,44,53,24,31,0.84,6,32,3,21,0,0,0,2,149,6,--,24.3
Reilly Smith,20192020,VGK,L,R,67,27,25,52,16,20,0.78,22,43,3,5,2,4,0,6,163,16.6,25,17.98333333
Nikolaj Ehlers,20192020,WPG,L,L,67,23,29,52,9,30,0.78,19,47,3,4,1,1,0,4,196,11.7,0,16.65
Bo Horvat,20192020,VAN,L,C,65,21,31,52,-13,21,0.8,10,37,11,15,0,0,0,2,170,12.3,57.5,19.7
Jaden Schwartz,20192020,STL,L,L,66,20,32,52,-3,16,0.79,11,32,9,20,0,0,1,4,153,13.1,42.1,18.16666667
Jakub Voracek,20192020,PHI,L,R,65,12,40,52,13,31,0.8,8,35,4,17,0,0,1,3,123,9.8,35,17
Jakub Vrana,20192020,WSH,L,L,65,25,26,51,4,18,0.78,24,39,1,12,0,0,1,6,180,13.9,44.4,14.98333333
Evgeny Kuznetsov,20192020,WSH,L,C,59,19,32,51,0,38,0.86,13,39,6,12,0,0,0,0,123,15.4,43.4,17.9
Nicklas Backstrom,20192020,WSH,L,C,57,11,40,51,-1,14,0.89,9,33,2,18,0,0,0,0,125,8.8,49.5,19.16666667
Quinn Hughes,20192020,VAN,L,D,64,8,43,51,-9,18,0.8,5,27,3,24,0,0,1,2,122,6.6,--,21.75
Bryan Rust,20192020,PIT,R,R,50,24,26,50,16,28,1,16,33,7,15,1,2,2,4,142,16.9,22.2,19.93333333
Brock Nelson,20192020,NYI,L,C,64,23,27,50,4,32,0.78,19,44,4,6,0,0,3,5,163,14.1,51.4,18.8
Sam Reinhart,20192020,BUF,R,C,65,22,28,50,-12,20,0.77,17,38,5,12,0,0,0,2,132,16.7,35.8,20.61666667
Tyler Seguin,20192020,DAL,R,C,65,17,33,50,0,22,0.77,14,35,3,15,0,0,3,6,234,7.3,58.6,19.03333333
Taylor Hall,20192020,"NJD,ARI",L,L,62,15,35,50,-13,32,0.81,11,32,4,18,0,0,0,1,215,7,39.6,19.15
Kevin Fiala,20192020,MIN,L,L,60,20,29,49,0,40,0.82,13,33,7,16,0,0,0,2,154,13,22.2,15.18333333
Claude Giroux,20192020,PHI,R,C,65,19,30,49,6,28,0.75,11,28,7,19,1,2,0,5,182,10.4,59.3,19.03333333
Dylan Larkin,20192020,DET,L,C,68,18,31,49,-23,39,0.72,13,36,5,13,0,0,0,0,211,8.5,51.9,21.18333333
Tony DeAngelo,20192020,NYR,R,D,63,13,36,49,12,47,0.78,10,31,3,18,0,0,2,3,133,9.8,--,19.06666667
Alex Pietrangelo,20192020,STL,R,D,65,13,36,49,8,20,0.75,8,27,5,21,0,1,0,3,206,6.3,--,24.13333333
T.J. Oshie,20192020,WSH,R,R,65,25,22,47,3,26,0.72,15,35,10,12,0,0,1,4,125,20,48.9,18.38333333
Alex Killorn,20192020,TBL,L,L,63,24,23,47,19,20,0.75,17,35,7,12,0,0,0,6,120,20,26.3,17.96666667
Pierre-Luc Dubois,20192020,CBJ,L,C,67,18,29,47,0,47,0.7,17,37,1,10,0,0,2,4,151,11.9,44.8,17.91666667
Cale Makar,20192020,COL,R,D,56,12,35,47,11,12,0.84,8,30,4,17,0,0,0,4,119,10.1,--,21
Evgenii Dadonov,20192020,FLA,L,R,66,25,21,46,-7,8,0.7,14,30,11,16,0,0,0,2,161,15.5,--,17.13333333
Sean Monahan,20192020,CGY,L,C,67,22,24,46,-17,23,0.69,14,31,8,15,0,0,1,5,159,13.8,52.7,18.03333333
Eric Staal,20192020,MIN,L,C,65,19,27,46,-11,28,0.71,14,32,5,14,0,0,1,5,113,16.8,49.5,17.1
Chris Kreider,20192020,NYR,L,L,63,24,21,45,13,58,0.71,15,32,9,13,0,0,0,5,156,15.4,43.1,17.25
Andre Burakovsky,20192020,COL,L,L,58,20,25,45,11,22,0.78,18,34,2,11,0,0,1,6,103,19.4,35.7,15.2
Brock Boeser,20192020,VAN,R,R,56,16,29,45,5,14,0.8,11,31,5,14,0,0,0,3,166,9.6,36.7,18.6
Phillip Danault,20192020,MTL,L,C,67,13,32,45,19,32,0.67,12,41,1,4,0,0,0,1,124,10.5,54.9,18.81666667
Torey Krug,20192020,BOS,L,D,58,8,37,45,-1,31,0.78,6,19,2,26,0,0,1,3,136,5.9,--,20.45
Keith Yandle,20192020,FLA,L,D,66,5,40,45,0,20,0.68,3,24,2,21,0,0,0,0,122,4.1,0,19.81666667
Dominik Kubalik,20192020,CHI,L,L,63,29,15,44,3,14,0.7,25,36,4,8,0,0,0,3,150,19.3,27.8,14.18333333
Jonathan Marchessault,20192020,VGK,R,C,62,20,24,44,3,26,0.71,14,32,6,12,0,0,1,3,222,9,43.6,17.26666667
Max Domi,20192020,MTL,L,C,67,17,27,44,0,31,0.66,16,33,1,11,0,0,2,3,168,10.1,49.6,17.08333333
Shea Theodore,20192020,VGK,L,D,67,11,33,44,11,25,0.66,9,27,1,16,1,1,1,2,202,5.5,--,22.2
Ryan Suter,20192020,MIN,L,D,65,7,37,44,-11,12,0.68,5,27,2,17,0,0,0,2,106,6.6,--,24.56666667
Kyle Palmieri,20192020,NJD,R,R,61,23,20,43,-1,41,0.7,12,25,11,18,0,0,1,3,145,15.9,35.3,17.11666667
Timo Meier,20192020,SJS,L,R,65,21,22,43,-21,40,0.66,19,38,2,5,0,0,0,2,173,12.1,33.3,17.21666667
Jake Guentzel,20192020,PIT,L,L,39,20,23,43,11,14,1.1,14,33,6,10,0,0,1,4,127,15.8,47.8,20.63333333
Tanner Pearson,20192020,VAN,L,L,65,19,24,43,-1,27,0.66,14,30,3,10,2,3,0,3,154,12.3,18.8,16.45
Filip Forsberg,20192020,NSH,R,L,59,18,25,43,-7,27,0.73,13,32,5,11,0,0,0,0,184,9.8,33.3,17.36666667
Clayton Keller,20192020,ARI,L,R,67,17,26,43,-5,26,0.64,15,28,2,15,0,0,0,2,181,9.4,38.1,16.28333333
Brent Burns,20192020,SJS,R,D,65,12,31,43,-20,32,0.66,7,27,5,15,0,1,1,1,209,5.7,--,25.18333333
Neal Pionk,20192020,WPG,R,D,67,6,37,43,11,32,0.64,3,19,3,24,0,0,0,1,165,3.6,--,23.36666667
Jean-Gabriel Pageau,20192020,"OTT,NYI",R,C,63,26,16,42,10,49,0.67,18,26,5,10,3,6,1,5,139,18.7,53.5,19.18333333
Zach Parise,20192020,MIN,L,L,65,23,19,42,-12,8,0.65,10,24,12,17,1,1,0,3,143,16.1,54.3,17.23333333
Tom Wilson,20192020,WSH,R,R,64,21,21,42,1,79,0.66,15,33,5,7,1,2,1,5,148,14.2,32.1,18.33333333
Tyler Bertuzzi,20192020,DET,L,L,68,18,24,42,-25,28,0.62,15,29,3,13,0,0,0,1,120,15,66.7,19.26666667
Anthony Cirelli,20192020,TBL,L,C,63,15,27,42,26,26,0.67,14,36,1,5,0,1,1,3,108,13.9,48.1,18.48333333
Mikael Backlund,20192020,CGY,L,C,67,15,27,42,4,26,0.63,9,30,3,9,3,3,0,2,147,10.2,46.7,17.95
William Karlsson,20192020,VGK,L,C,59,14,28,42,8,16,0.71,10,30,2,7,2,5,0,1,127,11,51.6,18.9
Nikita Gusev,20192020,NJD,R,L,62,12,30,42,-13,12,0.68,8,28,4,14,0,0,0,2,149,8.1,0,14.7
Nick Schmaltz,20192020,ARI,R,C,67,8,34,42,2,18,0.63,6,29,2,13,0,0,0,2,85,9.4,42.6,15.51666667
Evander Kane,20192020,SJS,L,L,59,22,19,41,-8,118,0.69,9,25,11,14,2,2,0,6,188,11.7,53,19.48333333
Brendan Gallagher,20192020,MTL,R,R,56,21,20,41,9,29,0.73,20,36,1,5,0,0,0,1,217,9.7,41.4,16.93333333
Mikko Rantanen,20192020,COL,L,R,42,19,22,41,-2,14,0.98,11,27,8,14,0,0,0,5,107,17.8,58.7,18.95
Kris Letang,20192020,PIT,R,D,56,14,27,41,1,32,0.73,8,26,6,15,0,0,0,2,168,8.3,--,25.83333333
David Krejci,20192020,BOS,R,C,57,13,28,41,15,23,0.72,10,28,3,13,0,0,1,3,75,17.3,50.8,17.18333333
Sidney Crosby,20192020,PIT,L,C,36,13,28,41,-9,13,1.14,9,26,4,15,0,0,2,3,94,13.8,55,20.31666667
Tyler Toffoli,20192020,"LAK,VAN",R,R,64,22,18,40,-3,18,0.63,18,32,4,8,0,0,1,4,188,11.7,28.6,16.7
Zach Werenski,20192020,CBJ,L,D,60,20,20,40,12,10,0.67,14,26,5,13,1,1,2,4,178,11.2,--,23.95
Anders Lee,20192020,NYI,L,L,64,19,21,40,8,42,0.63,18,34,1,6,0,0,1,6,182,10.4,44.6,18.21666667
James van Riemsdyk,20192020,PHI,L,L,65,19,21,40,5,8,0.62,15,31,4,9,0,0,0,2,151,12.6,34.8,15.1
Victor Olofsson,20192020,BUF,L,L,50,19,21,40,-2,6,0.8,8,23,11,17,0,0,1,4,120,15.8,50,18.46666667
Alex Iafallo,20192020,LAK,L,L,66,16,24,40,-1,12,0.61,10,31,6,9,0,0,2,3,134,11.9,50,18.81666667
Ondrej Palat,20192020,TBL,L,L,64,16,24,40,25,22,0.63,11,31,4,8,1,1,0,2,119,13.4,38.9,16.28333333
Alex DeBrincat,20192020,CHI,R,L,65,16,24,40,-13,13,0.62,6,26,10,14,0,0,1,3,187,8.6,36.8,17.51666667
Connor Brown,20192020,OTT,R,R,66,14,26,40,-3,24,0.61,11,34,3,4,0,2,0,1,158,8.9,43.6,20.2
Dougie Hamilton,20192020,CAR,R,D,47,14,26,40,30,32,0.85,12,27,2,12,0,1,2,3,170,8.2,--,23.28333333
Ryan Getzlaf,20192020,ANA,R,C,63,13,27,40,-16,47,0.63,10,31,3,9,0,0,1,5,135,9.6,51.4,18.81666667
Nick Suzuki,20192020,MTL,R,C,67,13,27,40,-14,6,0.6,7,26,6,14,0,0,0,1,126,10.3,46.9,15.9
Josh Bailey,20192020,NYI,L,R,64,13,27,40,-12,10,0.63,10,30,2,9,1,1,0,2,87,14.9,50.4,17.08333333
Gustav Nyquist,20192020,CBJ,L,C,67,13,27,40,5,16,0.6,9,30,3,9,1,1,1,3,138,9.4,51.5,17.95
Matt Duchene,20192020,NSH,L,C,62,12,28,40,-3,24,0.65,8,31,4,9,0,0,0,1,132,9.1,55.8,16.86666667
Robert Thomas,20192020,STL,R,C,61,10,30,40,10,18,0.66,9,34,1,6,0,0,0,2,81,12.3,42.5,14.53333333
Erik Karlsson,20192020,SJS,R,D,56,6,34,40,-15,16,0.71,4,26,1,13,1,1,0,0,120,5,--,24.51666667
Adam Henrique,20192020,ANA,L,C,65,24,15,39,-3,20,0.6,19,31,5,8,0,0,0,0,161,14.9,55.1,16.76666667
Conor Garland,20192020,ARI,R,R,66,22,17,39,2,20,0.59,18,29,4,10,0,0,0,5,155,14.2,28.6,14.2
Kevin Hayes,20192020,PHI,L,C,65,22,17,39,-8,32,0.6,14,28,4,7,4,4,2,5,163,13.5,49.6,17.8
Brady Tkachuk,20192020,OTT,L,L,66,18,21,39,-17,104,0.59,16,31,2,8,0,0,1,2,245,7.3,46.3,18.9
Pavel Buchnevich,20192020,NYR,L,R,63,15,24,39,-2,22,0.62,11,31,4,8,0,0,0,1,133,11.3,18.2,16.7
Jeff Petry,20192020,MTL,R,D,67,10,29,39,-13,26,0.58,6,26,3,12,1,1,2,3,152,6.6,--,23.63333333
Aaron Ekblad,20192020,FLA,R,D,64,5,34,39,7,24,0.61,5,32,0,6,0,1,1,1,145,3.5,--,22.91666667
Tyson Barrie,20192020,TOR,R,D,66,5,34,39,-7,16,0.59,4,27,1,12,0,0,0,0,162,3.1,--,21.78333333
Jamie Benn,20192020,DAL,L,L,65,19,19,38,-2,48,0.58,11,25,8,13,0,0,2,4,151,12.6,56.3,16.33333333
